mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5506335258483886,0.047313077758779784,0.09397869110107422,0.01978818648282273,0.1,l2,lbfgs,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8468364758534891,0.8256325432601425,0.8416299096828397,0.8618765450050894,0.8513141345799987,0.8454579216763121,0.01194542706119359,5
0.3834209442138672,0.1224245102298789,0.06625599861145019,0.012137241049648424,0.1,l2,liblinear,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.846703181296754,0.825693131695022,0.8416137527668719,0.8618240350281938,0.8511159730338532,0.8453900147641391,0.01188962054734065,6
0.32101616859436033,0.013267862187851438,0.08201417922973633,0.007542619713333367,1.0,l2,lbfgs,"{'model__C': 1.0, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8478301261855138,0.8252084242159857,0.8419005380253017,0.8628257638182024,0.8528751622700417,0.846128002903009,0.01251188902211612,3
0.3665557861328125,0.05571641903310585,0.0757683277130127,0.010047140570855592,1.0,l2,liblinear,"{'model__C': 1.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.847785694666602,0.8251559142390901,0.8419409303152214,0.8627813322992907,0.8529075151755348,0.8461142773391478,0.012517206129521336,4
0.35883021354675293,0.03442627592985885,0.05721549987792969,0.010589945074923494,10.0,l2,lbfgs,"{'model__C': 10.0, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8484440889922932,0.8253336403147367,0.8411532806617873,0.8633791381901021,0.8532997941546389,0.8463219884627117,0.012738647793753473,2
0.30744075775146484,0.02043249360988126,0.039812326431274414,0.009269229494569512,10.0,l2,liblinear,"{'model__C': 10.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.8485410304881005,0.8252730518798572,0.8411371237458194,0.8633912558770782,0.8532876618150789,0.8463260247611869,0.012765148763476683,1
